"","X","NSub","Exp","model","sig_s2","ks","ls","ts","kr","sig_mn2","mu_pr_log","sig_pr2_log","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","se_waic.1","log_lik_sum","log_lik_mean"
"1",1,1,"Exp1","Exp1",0.0641551166565668,0,0,0.010368380953682,0,0.00875289630963787,-0.109377579124547,0.0425686101700694,347.458355832486,304.390192465195,-173.729177916243,4.29185804232722,2.06084488829821,98.4766965416732,179.899362819788,1.34316912540113,0.371831916554038,-49.2383482708366,1.34316912540113,75.3012101796344,0.210338575920767
"2",2,2,"Exp1","Exp1",0.0316775133599383,0,0,0.00511028185849203,0,0.00791274984056894,0.0990420405003021,0.0610879968548712,407.34146140228,300.795055649402,-203.67073070114,6.20587790231099,2.17503441865913,166.515275215894,180.38196255621,4.55461165733404,0.415554700465601,-83.2576376079469,4.55461165733404,41.5011760725216,0.115281044645893
"3",3,3,"Exp1","Exp1",0.0217366878798197,0,0,0.00357439113790434,0,0.00696912538380723,-0.00389625689289858,0.0385528277820083,253.280895516933,303.291890767586,-126.640447758467,5.46171032226111,2.20057190669524,7.52605618717993,180.414471102709,3.25886367011017,0.362142152813773,-3.76302809358997,3.25886367011017,121.057494661736,0.336270818504823
"4",4,4,"Exp1","Exp1",0.0403383506468906,0,0,0.00637273100861582,0,0.0232574179813252,-0.0495142433450236,0.0465161334294278,480.484049505879,305.842855540587,-240.24202475294,5.17247781370871,2.49448858812582,230.726114780794,180.963888178043,1.68870037873918,0.433839349477689,-115.363057390397,1.68870037873918,9.88545798608064,0.0274596055168907
"5",5,5,"Exp1","Exp1",0.00912745908569735,0,0,0.00143989948951095,0,0.000434328437970719,-0.076842578008362,0.080856882702362,22.388854123307,304.595644861873,-11.1944270616535,12.9261330988171,2.21878054192983,-225.02021310519,180.891111247625,12.3591194458185,0.394057705696326,112.510106552595,12.3591194458185,237.770377084261,0.660473269678504
"6",6,6,"Exp1","Exp1",0.0406188888967317,0,0,0.0064124927670753,0,0.00220092662611206,-0.170482981054168,0.0490259243706913,245.674058263195,305.682054430474,-122.837029131597,6.70454994201499,2.40210824104812,-6.41007265075703,179.639988973497,4.82746478739853,0.38043504206022,3.20503632537851,4.82746478739853,127.636906192832,0.357526347879081
"7",7,7,"Exp1","Exp1",0.0577265027003984,0,0,0.00929744056216144,0,0.0140438503262372,-0.407867255189432,0.0973931121489786,475.330287340267,306.758647288876,-237.665143670134,5.15162709129684,2.27052219471108,224.480108898363,181.333558067924,2.76855805860919,0.414337548552,-112.240054449182,2.76855805860919,13.3733634191712,0.03714823171992
"8",8,8,"Exp1","Exp1",0.0669331942839166,0,0,0.0107341306704056,0,0.00626563743784151,-0.0261462044498352,0.168511961834956,636.555237888876,297.709561867744,-318.277618944438,8.86693245748652,2.2545530487292,393.718105267379,176.290995556995,7.42396775735883,0.381662568458156,-196.85905263369,7.42396775735883,-74.813339344659,-0.21314341693635
"9",9,9,"Exp1","Exp1",0.0138914462393376,0,0,0.00222551443726376,0,0.0108483818624972,0.263942353157935,0.0652939952870357,355.557740828724,309.770482609429,-177.778870414362,6.38162469431201,2.26316536029044,101.008900418433,182.496062404283,4.49524933202048,0.403656873646073,-50.5044502092165,4.49524933202048,75.8368518011411,0.210657921669836
"10",10,10,"Exp1","Exp1",0.0503942897468236,0,0,0.00794624138884725,0,0.00389908961825884,-0.0536799089856986,0.0920381049595634,475.229418948991,307.695692321893,-237.614709474495,8.34133843376117,2.6473955011053,221.034221560325,180.598093627561,6.35757626470882,0.413758682939203,-110.517110780162,6.35757626470882,14.5185020879127,0.0403291724664243
