Exp,NSub,curDur,m_repDur_low,m_repDur_medium,m_repDur_high
Exp1,1,0.5,0.7232003954347827,0.825336792125,0.7792974794583334
Exp1,2,0.5,0.7372948802083333,0.7479513254583333,0.7346212765833333
Exp1,3,0.5,0.701312033125,0.7419888927916667,0.7739746162916666
Exp1,4,0.5,0.7719862582916667,0.717311480875,0.7773086770416666
Exp1,5,0.5,0.5672939952083333,0.5572646911666667,0.584018625125
Exp1,6,0.5,0.6713153189583333,0.7519606355416667,0.7019747295416666
Exp1,7,0.5,0.59476270675,0.6624871496666667,0.6158094674166666
Exp1,8,0.5,0.6646113369583333,0.6586620902083333,0.7225984533333334
Exp1,9,0.5,0.6593179790833333,0.6273182380416666,0.61393825425
Exp1,10,0.5,0.7339818899166667,0.688649924625,0.7239533864583334
Exp1,11,0.5,0.6646230024166667,0.6972918589166667,0.6846040040833333
Exp1,12,0.5,0.5593063201666667,0.46929625525,0.49465273816666666
Exp1,13,0.5,0.62261964225,0.614597302125,0.662614985875
Exp1,14,0.5,0.535967662875,0.5126405175833333,0.5239404113333334
Exp1,15,0.5,0.6039580440833333,0.689292725375,0.6246685795416667
Exp1,16,0.5,0.593297321125,0.6355646830416667,0.6513021757083334
Exp2,1,0.5,0.7393169278333334,0.723978295625,0.673986052875
Exp2,2,0.5,0.5966580193333333,0.6175402925,0.588629503125
Exp2,3,0.5,0.8406534581666667,0.8319695899583334,0.8566429723333333
Exp2,4,0.5,0.8500943294583333,0.8926273767083334,0.8266401091666666
Exp2,5,0.5,0.8226287275416666,0.9593059759583333,1.0125854916956523
Exp2,6,0.5,0.7946435096666666,0.8406291080416667,0.7879828103333333
Exp2,7,0.5,0.8045933081739131,0.961964679625,0.76736206225
Exp2,8,0.5,0.6713081658333333,0.7273196745,0.746648308
Exp2,9,0.5,0.9892260987727273,1.0321974764166666,0.9804247032916666
Exp2,10,0.5,0.7465771760416666,0.8419606914166666,0.8499742022916666
Exp2,11,0.5,0.5453156408333334,0.519975127,0.52532789025
Exp2,12,0.5,0.941288717875,0.9221712951666666,1.1658377761304348
Exp2,13,0.5,0.675314817375,0.73263135875,0.825960816375
Exp2,14,0.5,0.55731575875,0.5379815400416667,0.563318515
Exp2,15,0.5,0.4926131895,0.5548365966521739,0.6406458762916667
Exp2,16,0.5,0.7466118100833333,0.8319715330416667,0.8666370744166667
Exp3,1,0.5,0.7719862582916667,0.717311480875,0.7773086770416666
Exp3,2,0.5,0.735968615625,0.7539854459166666,0.7573005378333334
Exp3,3,0.5,0.6671049132083333,0.6813028210416667,0.6639656872499999
Exp3,4,0.5,0.7713289597916667,0.7294520953913044,0.7706383694583333
Exp3,5,0.5,0.5033817381739131,0.5242279306521739,0.5373052587916667
Exp3,6,0.5,0.7373048945,0.892139750875,0.7949616496666666
Exp3,7,0.5,0.5892908970833334,0.5793317297083334,0.5719715428333333
Exp3,8,0.5,0.953307604875,0.88732671625,0.8446581844166666
Exp3,9,0.5,0.6459606997916667,0.7106612965833333,0.8006395735416667
Exp3,10,0.5,0.6332937550416666,0.813270294625,0.7365973987916666
Exp3,11,0.5,0.7846393888333333,0.7666507876666666,0.8246337842916667
Exp3,12,0.5,0.8692837475416667,0.8713742324166667,0.8846420083913044
Exp3,13,0.5,0.5779675792916666,0.5346328214583334,0.6026575486666667
Exp3,14,0.5,0.7231696809130435,0.7436469152083334,0.7322133507916667
