Exp,NSub,low,medium,high
Exp. 4a,1,-0.11215590603333336,-0.1587653114112319,-0.13588997402499997
Exp. 4a,2,-0.06403194597499998,-0.07296160427499998,-0.08402543482499998
Exp. 4a,3,-0.1707489730561594,-0.17105621461969694,-0.15028806408405798
Exp. 4a,4,-0.14034011315289854,-0.15743103583484847,-0.13865505211050727
Exp. 4a,5,0.02528822354166669,0.03112088281666665,0.0037805511083333966
Exp. 4a,6,-0.05110591336666668,-0.05187109205833336,-0.0457843889956522
Exp. 4a,7,0.011283190703985469,-0.06337749208333335,-0.06018338104166667
Exp. 4a,8,-9.559813083333202e-4,0.011299803900000027,-0.025881995450000007
Exp. 4a,9,0.04933373181666667,0.05685136623876812,0.07254729521666663
Exp. 4a,10,-0.017752823525000006,-0.07056346455000007,-0.04882765579166668
Exp. 4a,11,-0.06555433567500005,-0.05680543757500005,-0.0676549933
Exp. 4a,12,0.016477219991666646,-0.048444588309058,-0.006578942492028994
Exp. 4a,13,-0.16430835364166665,-0.24176113781666667,-0.2593770984916667
Exp. 4a,14,-0.06581027064999997,-0.08540653482789862,-0.06520398304166666
Exp. 4a,15,0.02197543243333333,-0.02885331259166668,0.001543490641666634
Exp. 4a,16,-0.11263121435833331,-0.1896866473,-0.21198317974999997
