"","Exp","WMSize","NSub","m_WMCrr","n","se_WMCrr"
"1","Exp1","low",1,0.916666666666667,120,0.0254424399503991
"2","Exp1","low",2,0.925,120,0.0242462824306782
"3","Exp1","low",3,0.883333333333333,120,0.0295514888401186
"4","Exp1","low",4,0.866666666666667,120,0.031292414663908
"5","Exp1","low",5,0.958333333333333,120,0.0183948536926662
"6","Exp1","low",6,0.875,120,0.0304440687945156
"7","Exp1","low",7,0.958333333333333,120,0.0183948536926662
"8","Exp1","low",8,0.825,120,0.0349775720811217
"9","Exp1","low",9,0.925,120,0.0242462824306782
"10","Exp1","low",10,0.95,120,0.020062750229098
"11","Exp1","low",11,0.891666666666667,120,0.0286105351086856
"12","Exp1","low",12,0.941666666666667,120,0.0215749926945751
"13","Exp1","low",13,0.925,120,0.0242462824306782
"14","Exp1","low",14,0.908333333333333,120,0.0265626871416717
"15","Exp1","low",15,0.958333333333333,120,0.0183948536926662
"16","Exp1","low",16,0.933333333333333,120,0.0229623546576125
"17","Exp1","medium",1,0.758333333333333,120,0.0394077927677865
"18","Exp1","medium",2,0.783333333333333,120,0.0379239020640365
"19","Exp1","medium",3,0.716666666666667,120,0.0414811797723995
"20","Exp1","medium",4,0.725,120,0.0411035196685566
"21","Exp1","medium",5,0.833333333333333,120,0.0343065790305767
"22","Exp1","medium",6,0.8,120,0.0368216845381624
"23","Exp1","medium",7,0.9,120,0.0276162634036218
"24","Exp1","medium",8,0.741666666666667,120,0.0402938036516246
"25","Exp1","medium",9,0.808333333333333,120,0.0362336596607828
"26","Exp1","medium",10,0.825,120,0.0349775720811217
"27","Exp1","medium",11,0.808333333333333,120,0.0362336596607828
"28","Exp1","medium",12,0.891666666666667,120,0.0286105351086856
"29","Exp1","medium",13,0.766666666666667,120,0.0389345666193704
"30","Exp1","medium",14,0.8,120,0.0368216845381624
"31","Exp1","medium",15,0.808333333333333,120,0.0362336596607828
"32","Exp1","medium",16,0.825,120,0.0349775720811217
"33","Exp1","high",1,0.733333333333333,120,0.0407079039206385
"34","Exp1","high",2,0.666666666666667,120,0.0433947713860775
"35","Exp1","high",3,0.65,120,0.0439070604289517
"36","Exp1","high",4,0.616666666666667,120,0.0447566107168272
"37","Exp1","high",5,0.766666666666667,120,0.0389345666193704
"38","Exp1","high",6,0.791666666666667,120,0.0373847277732189
"39","Exp1","high",7,0.808333333333333,120,0.0362336596607828
"40","Exp1","high",8,0.608333333333333,120,0.0449337613747409
"41","Exp1","high",9,0.683333333333333,120,0.0428214274204997
"42","Exp1","high",10,0.766666666666667,120,0.0389345666193704
"43","Exp1","high",11,0.675,120,0.0431158774197153
"44","Exp1","high",12,0.875,120,0.0304440687945156
"45","Exp1","high",13,0.658333333333333,120,0.0436584074407572
"46","Exp1","high",14,0.675,120,0.0431158774197153
"47","Exp1","high",15,0.708333333333333,120,0.0418413704377862
"48","Exp1","high",16,0.75,120,0.0398606427752317
"49","Exp2","low",1,0.908333333333333,120,0.0265626871416717
"50","Exp2","low",2,0.933333333333333,120,0.0229623546576125
"51","Exp2","low",3,0.883333333333333,120,0.0295514888401186
"52","Exp2","low",4,0.816666666666667,120,0.0356194159305587
"53","Exp2","low",5,0.908333333333333,120,0.0265626871416717
"54","Exp2","low",6,0.883333333333333,120,0.0295514888401186
"55","Exp2","low",7,0.908333333333333,120,0.0265626871416717
"56","Exp2","low",8,0.933333333333333,120,0.0229623546576125
"57","Exp2","low",9,0.883333333333333,120,0.0295514888401186
"58","Exp2","low",10,0.925,120,0.0242462824306782
"59","Exp2","low",11,0.916666666666667,120,0.0254424399503991
"60","Exp2","low",12,0.808333333333333,120,0.0362336596607828
"61","Exp2","low",13,0.9,120,0.0276162634036218
"62","Exp2","low",14,0.883333333333333,120,0.0295514888401186
"63","Exp2","low",15,0.95,120,0.020062750229098
"64","Exp2","low",16,0.941666666666667,120,0.0215749926945751
"65","Exp2","medium",1,0.808333333333333,120,0.0362336596607828
"66","Exp2","medium",2,0.666666666666667,120,0.0433947713860775
"67","Exp2","medium",3,0.658333333333333,120,0.0436584074407572
"68","Exp2","medium",4,0.725,120,0.0411035196685566
"69","Exp2","medium",5,0.675,120,0.0431158774197153
"70","Exp2","medium",6,0.683333333333333,120,0.0428214274204997
"71","Exp2","medium",7,0.658333333333333,120,0.0436584074407572
"72","Exp2","medium",8,0.775,120,0.0384402118033031
"73","Exp2","medium",9,0.816666666666667,120,0.0356194159305587
"74","Exp2","medium",10,0.783333333333333,120,0.0379239020640365
"75","Exp2","medium",11,0.691666666666667,120,0.0425110981465022
"76","Exp2","medium",12,0.508333333333333,120,0.0460207125751414
"77","Exp2","medium",13,0.716666666666667,120,0.0414811797723995
"78","Exp2","medium",14,0.708333333333333,120,0.0418413704377862
"79","Exp2","medium",15,0.841666666666667,120,0.033604690736675
"80","Exp2","medium",16,0.875,120,0.0304440687945156
"81","Exp2","high",1,0.75,120,0.0398606427752317
"82","Exp2","high",2,0.533333333333333,120,0.0459247093152251
"83","Exp2","high",3,0.633333333333333,120,0.0443604098483567
"84","Exp2","high",4,0.608333333333333,120,0.0449337613747409
"85","Exp2","high",5,0.725,120,0.0411035196685566
"86","Exp2","high",6,0.666666666666667,120,0.0433947713860775
